year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1986,Mexico,Mexico City,Round of 16,Bulgaria,2,0,H,Italy won in AET,Mexico,Bulgaria,1986-06-15,Jun,Sunday,1980s,June
1986,Mexico,León,Round of 16,Belgium,3,4,A,Belgium won in AET,Belgium,Soviet Union,1986-06-15,Jun,Sunday,1980s,June
1986,Mexico,Puebla,Round of 16,Uruguay,1,0,H,Italy won in AET,Argentina,Uruguay,1986-06-16,Jun,Monday,1980s,June
1986,Mexico,Guadalajara,Round of 16,Poland,4,0,H,Italy won in AET,Brazil,Poland,1986-06-16,Jun,Monday,1980s,June
1986,Mexico,Mexico City,Round of 16,France,0,2,A,Italy won in AET,France,Italy,1986-06-17,Jun,Tuesday,1980s,June
1986,Mexico,Monterrey,Round of 16,West Germany,0,1,A,Italy won in AET,West Germany,Morocco,1986-06-17,Jun,Tuesday,1980s,June
1986,Mexico,Querétaro,Round of 16,Spain,1,5,A,Italy won in AET,Spain,Denmark,1986-06-18,Jun,Wednesday,1980s,June
1986,Mexico,Mexico City,Round of 16,Paraguay,3,0,H,Italy won in AET,England,Paraguay,1986-06-18,Jun,Wednesday,1980s,June
1986,Mexico,Guadalajara,Quarterfinals,France,1,1,A,France won in penalties (4 - 3),France,Brazil,1986-06-21,Jun,Saturday,1980s,June
1986,Mexico,Monterrey,Quarterfinals,West Germany,0,0,A,West Germany won in penalties (4 - 1),West Germany,Mexico,1986-06-21,Jun,Saturday,1980s,June
1986,Mexico,Mexico City,Quarterfinals,England,2,1,H,Italy won in AET,Argentina,England,1986-06-22,Jun,Sunday,1980s,June
1986,Mexico,Puebla,Quarterfinals,Belgium,1,1,A,Belgium won in penalties (5 - 4),Belgium,Spain,1986-06-22,Jun,Sunday,1980s,June
1986,Mexico,Mexico City,Semifinals,Belgium,2,0,H,Italy won in AET,Argentina,Belgium,1986-06-25,Jun,Wednesday,1980s,June
1986,Mexico,Guadalajara,Semifinals,West Germany,0,2,A,Italy won in AET,West Germany,France,1986-06-25,Jun,Wednesday,1980s,June
1986,Mexico,Puebla,Third place,Belgium,4,2,H,France won in AET,France,Belgium,1986-06-28,Jun,Saturday,1980s,June
1986,Mexico,Mexico City,Final,West Germany,3,2,H,Italy won in AET,Argentina,West Germany,1986-06-29,Jun,Sunday,1980s,June
1990,Italy,Milan,Group B,Cameroon,0,1,A,Italy won in AET,Cameroon,Argentina,1990-06-08,Jun,Friday,1990s,June
1990,Italy,Rome,Group A,Austria,1,0,H,Italy won in AET,Italy,Austria,1990-06-09,Jun,Saturday,1990s,June
1990,Italy,Bari,Group B,Romania,0,2,A,Italy won in AET,Romania,Soviet Union,1990-06-09,Jun,Saturday,1990s,June
1990,Italy,Bologna,Group D,Colombia,0,2,A,Italy won in AET,Colombia,United Arab Emirates,1990-06-09,Jun,Saturday,1990s,June
1990,Italy,Turin,Group C,Sweden,2,1,H,Italy won in AET,Brazil,Sweden,1990-06-10,Jun,Sunday,1990s,June
1990,Italy,Milan,Group D,Yugoslavia,4,1,H,Italy won in AET,West Germany,Yugoslavia,1990-06-10,Jun,Sunday,1990s,June
1990,Italy,Florence,Group A,Czechoslovakia,1,5,A,Italy won in AET,Czechoslovakia,United States,1990-06-10,Jun,Sunday,1990s,June
1990,Italy,Genoa,Group C,Scotland,1,0,H,Italy won in AET,Costa Rica,Scotland,1990-06-11,Jun,Monday,1990s,June
1990,Italy,Cagliari,Group F,Republic of Ireland,1,1,D,Italy won in AET,Brazil,Mexico,1990-06-11,Jun,Monday,1990s,June
1990,Italy,Verona,Group E,South Korea,2,0,H,Italy won in AET,Belgium,South Korea,1990-06-12,Jun,Tuesday,1990s,June
1990,Italy,Palermo,Group F,Egypt,1,1,D,Italy won in AET,Brazil,Mexico,1990-06-12,Jun,Tuesday,1990s,June
1990,Italy,Naples,Group B,Soviet Union,2,0,H,Italy won in AET,Argentina,Soviet Union,1990-06-13,Jun,Wednesday,1990s,June
1990,Italy,Udine,Group E,Spain,0,0,D,Italy won in AET,Brazil,Mexico,1990-06-13,Jun,Wednesday,1990s,June
1990,Italy,Bari,Group B,Romania,2,1,H,Italy won in AET,Cameroon,Romania,1990-06-14,Jun,Thursday,1990s,June
1990,Italy,Rome,Group A,United States,1,0,H,Italy won in AET,Italy,United States,1990-06-14,Jun,Thursday,1990s,June
1990,Italy,Bologna,Group D,Colombia,1,0,H,Italy won in AET,Yugoslavia,Colombia,1990-06-14,Jun,Thursday,1990s,June
1990,Italy,Florence,Group A,Czechoslovakia,0,1,A,Italy won in AET,Czechoslovakia,Austria,1990-06-15,Jun,Friday,1990s,June
1990,Italy,Milan,Group D,United Arab Emirates,5,1,H,Italy won in AET,West Germany,United Arab Emirates,1990-06-15,Jun,Friday,1990s,June
1990,Italy,Turin,Group C,Costa Rica,1,0,H,Italy won in AET,Brazil,Costa Rica,1990-06-16,Jun,Saturday,1990s,June
1990,Italy,Cagliari,Group F,Netherlands,0,0,D,Italy won in AET,Brazil,Mexico,1990-06-16,Jun,Saturday,1990s,June
1990,Italy,Genoa,Group C,Scotland,1,2,A,Italy won in AET,Scotland,Sweden,1990-06-16,Jun,Saturday,1990s,June
1990,Italy,Verona,Group E,Uruguay,3,1,H,Italy won in AET,Belgium,Uruguay,1990-06-17,Jun,Sunday,1990s,June
1990,Italy,Palermo,Group F,Egypt,0,0,D,Italy won in AET,Brazil,Mexico,1990-06-17,Jun,Sunday,1990s,June
1990,Italy,Udine,Group E,Spain,1,3,A,Italy won in AET,Spain,South Korea,1990-06-17,Jun,Sunday,1990s,June
1990,Italy,Naples,Group B,Romania,1,1,D,Italy won in AET,Brazil,Mexico,1990-06-18,Jun,Monday,1990s,June
1990,Italy,Bari,Group B,Soviet Union,0,4,A,Italy won in AET,Soviet Union,Cameroon,1990-06-18,Jun,Monday,1990s,June
1990,Italy,Florence,Group A,United States,2,1,H,Italy won in AET,Austria,United States,1990-06-19,Jun,Tuesday,1990s,June
1990,Italy,Milan,Group D,Colombia,1,1,D,Italy won in AET,Brazil,Mexico,1990-06-19,Jun,Tuesday,1990s,June
1990,Italy,Rome,Group A,Czechoslovakia,2,0,H,Italy won in AET,Italy,Czechoslovakia,1990-06-19,Jun,Tuesday,1990s,June
1990,Italy,Bologna,Group D,United Arab Emirates,4,1,H,Italy won in AET,Yugoslavia,United Arab Emirates,1990-06-19,Jun,Tuesday,1990s,June
1990,Italy,Turin,Group C,Scotland,1,0,H,Italy won in AET,Brazil,Scotland,1990-06-20,Jun,Wednesday,1990s,June
1990,Italy,Genoa,Group C,Costa Rica,1,2,A,Italy won in AET,Costa Rica,Sweden,1990-06-20,Jun,Wednesday,1990s,June
1990,Italy,Verona,Group E,Spain,1,2,A,Italy won in AET,Spain,Belgium,1990-06-21,Jun,Thursday,1990s,June
1990,Italy,Cagliari,Group F,Egypt,1,0,H,Italy won in AET,England,Egypt,1990-06-21,Jun,Thursday,1990s,June
1990,Italy,Palermo,Group F,Netherlands,1,1,D,Italy won in AET,Brazil,Mexico,1990-06-21,Jun,Thursday,1990s,June
1990,Italy,Udine,Group E,Uruguay,0,1,A,Italy won in AET,Uruguay,South Korea,1990-06-21,Jun,Thursday,1990s,June
1990,Italy,Naples,Round of 16,Colombia,2,1,H,Cameroon won in AET,Cameroon,Colombia,1990-06-23,Jun,Saturday,1990s,June
1990,Italy,Bari,Round of 16,Costa Rica,4,1,H,Italy won in AET,Czechoslovakia,Costa Rica,1990-06-23,Jun,Saturday,1990s,June
1990,Italy,Turin,Round of 16,Argentina,0,1,A,Italy won in AET,Argentina,Brazil,1990-06-24,Jun,Sunday,1990s,June
1990,Italy,Milan,Round of 16,Netherlands,2,1,H,Italy won in AET,West Germany,Netherlands,1990-06-24,Jun,Sunday,1990s,June
1990,Italy,Genoa,Round of 16,Romania,0,0,H,Republic of Ireland won in penalties (5 - 4),Republic of Ireland,Romania,1990-06-25,Jun,Monday,1990s,June
1990,Italy,Rome,Round of 16,Uruguay,2,0,H,Italy won in AET,Italy,Uruguay,1990-06-25,Jun,Monday,1990s,June
1990,Italy,Bologna,Round of 16,Belgium,1,0,H,England won in AET,England,Belgium,1990-06-26,Jun,Tuesday,1990s,June
1990,Italy,Verona,Round of 16,Yugoslavia,1,2,A,Yugoslavia won in AET,Yugoslavia,Spain,1990-06-26,Jun,Tuesday,1990s,June
1990,Italy,Rome,Quarterfinals,Republic of Ireland,1,0,H,Italy won in AET,Italy,Republic of Ireland,1990-06-30,Jun,Saturday,1990s,June
1990,Italy,Florence,Quarterfinals,Argentina,0,0,A,Argentina won in penalties (3 - 2),Argentina,Yugoslavia,1990-06-30,Jun,Saturday,1990s,June
1990,Italy,Naples,Quarterfinals,England,2,3,A,England won in AET,England,Cameroon,1990-07-01,Jul,Sunday,1990s,July
1990,Italy,Milan,Quarterfinals,Czechoslovakia,1,0,H,Italy won in AET,West Germany,Czechoslovakia,1990-07-01,Jul,Sunday,1990s,July
1990,Italy,Naples,Semifinals,Argentina,1,1,A,Argentina won in penalties (4 - 3),Argentina,Italy,1990-07-03,Jul,Tuesday,1990s,July
1990,Italy,Turin,Semifinals,England,1,1,H,West Germany won in penalties (4 - 3),West Germany,England,1990-07-04,Jul,Wednesday,1990s,July
1990,Italy,Bari,Third place,England,2,1,H,Italy won in AET,Italy,England,1990-07-07,Jul,Saturday,1990s,July
1990,Italy,Rome,Final,Argentina,1,0,H,Italy won in AET,West Germany,Argentina,1990-07-08,Jul,Sunday,1990s,July
1994,United States,Chicago,Group C,Bolivia,1,0,H,Italy won in AET,Germany,Bolivia,1994-06-17,Jun,Friday,1990s,June
1994,United States,Dallas,Group C,South Korea,2,2,D,Italy won in AET,Brazil,Mexico,1994-06-17,Jun,Friday,1990s,June
1994,United States,Pasadena,Group A,Romania,1,3,A,Italy won in AET,Romania,Colombia,1994-06-18,Jun,Saturday,1990s,June
1994,United States,East Rutherford,Group E,Republic of Ireland,0,1,A,Italy won in AET,Republic of Ireland,Italy,1994-06-18,Jun,Saturday,1990s,June
1994,United States,Pontiac,Group A,Switzerland,1,1,D,Italy won in AET,Brazil,Mexico,1994-06-18,Jun,Saturday,1990s,June
1994,United States,Orlando,Group F,Morocco,1,0,H,Italy won in AET,Belgium,Morocco,1994-06-19,Jun,Sunday,1990s,June
1994,United States,Pasadena,Group B,Sweden,2,2,D,Italy won in AET,Brazil,Mexico,1994-06-19,Jun,Sunday,1990s,June
1994,United States,Washington,Group E,Mexico,1,0,H,Italy won in AET,Norway,Mexico,1994-06-19,Jun,Sunday,1990s,June
1994,United States,Palo Alto,Group B,Russia,2,0,H,Italy won in AET,Brazil,Russia,1994-06-20,Jun,Monday,1990s,June
1994,United States,Washington,Group F,Saudi Arabia,2,1,H,Italy won in AET,Netherlands,Saudi Arabia,1994-06-20,Jun,Monday,1990s,June
1994,United States,Foxborough,Group D,Greece,4,0,H,Italy won in AET,Argentina,Greece,1994-06-21,Jun,Tuesday,1990s,June
1994,United States,Chicago,Group C,Spain,1,1,D,Italy won in AET,Brazil,Mexico,1994-06-21,Jun,Tuesday,1990s,June
1994,United States,Dallas,Group D,Bulgaria,3,0,H,Italy won in AET,Nigeria,Bulgaria,1994-06-21,Jun,Tuesday,1990s,June
1994,United States,Pontiac,Group A,Switzerland,1,4,A,Italy won in AET,Switzerland,Romania,1994-06-22,Jun,Wednesday,1990s,June
1994,United States,Pasadena, Group A,Colombia,2,1,H,Italy won in AET,United States,Colombia,1994-06-22,Jun,Wednesday,1990s,June
1994,United States,East Rutherford,Group E,Norway,1,0,H,Italy won in AET,Italy,Norway,1994-06-23,Jun,Thursday,1990s,June
1994,United States,Foxborough,Group C,Bolivia,0,0,D,Italy won in AET,Brazil,Mexico,1994-06-23,Jun,Thursday,1990s,June
1994,United States,Palo Alto,Group B,Cameroon,3,0,H,Italy won in AET,Brazil,Cameroon,1994-06-24,Jun,Friday,1990s,June
1994,United States,Orlando,Group E,Republic of Ireland,2,1,H,Italy won in AET,Mexico,Republic of Ireland,1994-06-24,Jun,Friday,1990s,June
1994,United States,Pontiac,Group B,Russia,3,1,H,Italy won in AET,Sweden,Russia,1994-06-24,Jun,Friday,1990s,June
1994,United States,Foxborough,Group D,Nigeria,2,1,H,Italy won in AET,Argentina,Nigeria,1994-06-25,Jun,Saturday,1990s,June
1994,United States,Orlando,Group F,Netherlands,1,0,H,Italy won in AET,Belgium,Netherlands,1994-06-25,Jun,Saturday,1990s,June
1994,United States,East Rutherford,Group F,Morocco,2,1,H,Italy won in AET,Saudi Arabia,Morocco,1994-06-25,Jun,Saturday,1990s,June
1994,United States,Chicago,Group D,Greece,4,0,H,Italy won in AET,Bulgaria,Greece,1994-06-26,Jun,Sunday,1990s,June
1994,United States,Palo Alto,Group A,Colombia,0,2,A,Italy won in AET,Colombia,Switzerland,1994-06-26,Jun,Sunday,1990s,June
1994,United States,Pasadena,Group A,Romania,0,1,A,Italy won in AET,Romania,United States,1994-06-26,Jun,Sunday,1990s,June
1994,United States,Chicago,Group C,Spain,1,3,A,Italy won in AET,Spain,Bolivia,1994-06-27,Jun,Monday,1990s,June
1994,United States,Dallas,Group C,South Korea,3,2,H,Italy won in AET,Germany,South Korea,1994-06-27,Jun,Monday,1990s,June
1994,United States,Pontiac,Group B,Sweden,1,1,D,Italy won in AET,Brazil,Mexico,1994-06-28,Jun,Tuesday,1990s,June
1994,United States,East Rutherford,Group E,Norway,0,0,D,Italy won in AET,Brazil,Mexico,1994-06-28,Jun,Tuesday,1990s,June
1994,United States,Washington,Group E,Mexico,1,1,D,Italy won in AET,Brazil,Mexico,1994-06-28,Jun,Tuesday,1990s,June
1994,United States,Palo Alto,Group B,Cameroon,5,1,H,Italy won in AET,Russia,Cameroon,1994-06-28,Jun,Tuesday,1990s,June
1994,United States,Washington,Group F,Saudi Arabia,0,1,A,Italy won in AET,Saudi Arabia,Belgium,1994-06-29,Jun,Wednesday,1990s,June
1994,United States,Orlando,Group F,Netherlands,1,2,A,Italy won in AET,Netherlands,Morocco,1994-06-29,Jun,Wednesday,1990s,June
1994,United States,Dallas,Group D,Bulgaria,0,2,A,Italy won in AET,Bulgaria,Argentina,1994-06-30,Jun,Thursday,1990s,June
1994,United States,Foxborough,Group D,Nigeria,0,2,A,Italy won in AET,Nigeria,Greece,1994-06-30,Jun,Thursday,1990s,June
1994,United States,Chicago,Round of 16,Belgium,3,2,H,Italy won in AET,Germany,Belgium,1994-07-02,Jul,Saturday,1990s,July
1994,United States,Washington,Round of 16,Switzerland,3,0,H,Italy won in AET,Spain,Switzerland,1994-07-02,Jul,Saturday,1990s,July
1994,United States,Pasadena,Round of 16,Argentina,3,2,H,Italy won in AET,Romania,Argentina,1994-07-03,Jul,Sunday,1990s,July
1994,United States,Dallas,Round of 16,Sweden,1,3,A,Italy won in AET,Sweden,Saudi Arabia,1994-07-03,Jul,Sunday,1990s,July
1994,United States,Orlando,Round of 16,Republic of Ireland,2,0,H,Italy won in AET,Netherlands,Republic of Ireland,1994-07-04,Jul,Monday,1990s,July
1994,United States,Palo Alto,Round of 16,Brazil,0,1,A,Italy won in AET,Brazil,United States,1994-07-04,Jul,Monday,1990s,July
1994,United States,East Rutherford,Round of 16,Bulgaria,1,1,A,Bulgaria won in penalties (3 - 1),Bulgaria,Mexico,1994-07-05,Jul,Tuesday,1990s,July
1994,United States,Foxborough,Round of 16,Italy,1,2,A,Italy won in AET,Italy,Nigeria,1994-07-05,Jul,Tuesday,1990s,July
1994,United States,Foxborough,Quarterfinals,Spain,2,1,H,Italy won in AET,Italy,Spain,1994-07-09,Jul,Saturday,1990s,July
1994,United States,Dallas,Quarterfinals,Brazil,2,3,A,Italy won in AET,Brazil,Netherlands,1994-07-09,Jul,Saturday,1990s,July
1994,United States,East Rutherford,Quarterfinals,Germany,2,1,H,Italy won in AET,Bulgaria,Germany,1994-07-10,Jul,Sunday,1990s,July
1994,United States,Palo Alto,Quarterfinals,Sweden,2,2,A,Sweden won in penalties (5 - 4),Sweden,Romania,1994-07-10,Jul,Sunday,1990s,July
1994,United States,East Rutherford,Semifinals,Italy,1,2,A,Italy won in AET,Italy,Bulgaria,1994-07-13,Jul,Wednesday,1990s,July
1994,United States,Pasadena,Semifinals,Brazil,0,1,A,Italy won in AET,Brazil,Sweden,1994-07-13,Jul,Wednesday,1990s,July
1994,United States,Pasadena,Third place,Bulgaria,4,0,H,Italy won in AET,Sweden,Bulgaria,1994-07-16,Jul,Saturday,1990s,July
1994,United States,Pasadena,Final,Italy,0,0,H,Brazil won in penalties (3 - 2),Brazil,Italy,1994-07-17,Jul,Sunday,1990s,July
1998,France,Saint-Denis,Group A,Scotland,2,1,H,Italy won in AET,Brazil,Scotland,1998-06-10,Jun,Wednesday,1990s,June
1998,France,Montpellier,Group A,Norway,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-10,Jun,Wednesday,1990s,June
1998,France,Toulouse,Group B,Austria,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-11,Jun,Thursday,1990s,June
1998,France,Bordeaux,Group B,Chile,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-11,Jun,Thursday,1990s,June
1998,France,Marseille,Group C,South Africa,3,0,H,Italy won in AET,France,South Africa,1998-06-12,Jun,Friday,1990s,June
1998,France,Montpellier,Group D,Bulgaria,0,0,D,Italy won in AET,Brazil,Mexico,1998-06-12,Jun,Friday,1990s,June
1998,France,Lens,Group C,Denmark,0,1,A,Italy won in AET,Denmark,Saudi Arabia,1998-06-12,Jun,Friday,1990s,June
1998,France,Lyon,Group E,Mexico,1,3,A,Italy won in AET,Mexico,South Korea,1998-06-13,Jun,Saturday,1990s,June
1998,France,Saint-Denis,Group E,Belgium,0,0,D,Italy won in AET,Brazil,Mexico,1998-06-13,Jun,Saturday,1990s,June
1998,France,Nantes,Group D,Nigeria,2,3,A,Italy won in AET,Nigeria,Spain,1998-06-13,Jun,Saturday,1990s,June
1998,France,Toulouse,Group H,Japan,1,0,H,Italy won in AET,Argentina,Japan,1998-06-14,Jun,Sunday,1990s,June
1998,France,Lens,Group H,Croatia,1,3,A,Italy won in AET,Croatia,Jamaica,1998-06-14,Jun,Sunday,1990s,June
1998,France,Saint-Étienne,Group F,Iran,1,0,H,Italy won in AET,FR Yugoslavia,Iran,1998-06-14,Jun,Sunday,1990s,June
1998,France,Marseille,Group G,Tunisia,2,0,H,Italy won in AET,England,Tunisia,1998-06-15,Jun,Monday,1990s,June
1998,France,Paris,Group F,United States,2,0,H,Italy won in AET,Germany,United States,1998-06-15,Jun,Monday,1990s,June
1998,France,Lyon,Group G,Colombia,1,0,H,Italy won in AET,Romania,Colombia,1998-06-15,Jun,Monday,1990s,June
1998,France,Nantes,Group A,Morocco,3,0,H,Italy won in AET,Brazil,Morocco,1998-06-16,Jun,Tuesday,1990s,June
1998,France,Bordeaux,Group A,Norway,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-16,Jun,Tuesday,1990s,June
1998,France,Saint-Étienne,Group B,Austria,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-17,Jun,Wednesday,1990s,June
1998,France,Montpellier,Group B,Cameroon,3,0,H,Italy won in AET,Italy,Cameroon,1998-06-17,Jun,Wednesday,1990s,June
1998,France,Saint-Denis,Group C,Saudi Arabia,4,0,H,Italy won in AET,France,Saudi Arabia,1998-06-18,Jun,Thursday,1990s,June
1998,France,Toulouse,Group C,Denmark,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-18,Jun,Thursday,1990s,June
1998,France,Paris,Group D,Bulgaria,1,0,H,Italy won in AET,Nigeria,Bulgaria,1998-06-19,Jun,Friday,1990s,June
1998,France,Saint-Étienne,Group D,Paraguay,0,0,D,Italy won in AET,Brazil,Mexico,1998-06-19,Jun,Friday,1990s,June
1998,France,Bordeaux,Group E,Mexico,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-20,Jun,Saturday,1990s,June
1998,France,Nantes,Group H,Croatia,0,1,A,Italy won in AET,Croatia,Japan,1998-06-20,Jun,Saturday,1990s,June
1998,France,Marseille,Group E,South Korea,5,0,H,Italy won in AET,Netherlands,South Korea,1998-06-20,Jun,Saturday,1990s,June
1998,France,Paris,Group H,Jamaica,5,0,H,Italy won in AET,Argentina,Jamaica,1998-06-21,Jun,Sunday,1990s,June
1998,France,Lens,Group F,FR Yugoslavia,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-21,Jun,Sunday,1990s,June
1998,France,Lyon,Group F,Iran,1,2,A,Italy won in AET,Iran,United States,1998-06-21,Jun,Sunday,1990s,June
1998,France,Montpellier,Group G,Tunisia,1,0,H,Italy won in AET,Colombia,Tunisia,1998-06-22,Jun,Monday,1990s,June
1998,France,Toulouse,Group G,England,2,1,H,Italy won in AET,Romania,England,1998-06-22,Jun,Monday,1990s,June
1998,France,Marseille,Group A,Norway,1,2,A,Italy won in AET,Norway,Brazil,1998-06-23,Jun,Tuesday,1990s,June
1998,France,Nantes,Group B,Cameroon,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-23,Jun,Tuesday,1990s,June
1998,France,Saint-Denis,Group B,Austria,2,1,H,Italy won in AET,Italy,Austria,1998-06-23,Jun,Tuesday,1990s,June
1998,France,Saint-Étienne,Group A,Morocco,0,3,A,Italy won in AET,Morocco,Scotland,1998-06-23,Jun,Tuesday,1990s,June
1998,France,Lyon,Group C,Denmark,2,1,H,Italy won in AET,France,Denmark,1998-06-24,Jun,Wednesday,1990s,June
1998,France,Toulouse,Group D,Paraguay,1,3,A,Italy won in AET,Paraguay,Nigeria,1998-06-24,Jun,Wednesday,1990s,June
1998,France,Bordeaux,Group C,Saudi Arabia,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-24,Jun,Wednesday,1990s,June
1998,France,Lens,Group D,Bulgaria,5,1,H,Italy won in AET,Spain,Bulgaria,1998-06-24,Jun,Wednesday,1990s,June
1998,France,Paris,Group E,South Korea,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-25,Jun,Thursday,1990s,June
1998,France,Montpellier,Group F,Iran,2,0,H,Italy won in AET,Germany,Iran,1998-06-25,Jun,Thursday,1990s,June
1998,France,Saint-Étienne,Group E,Mexico,2,2,D,Italy won in AET,Brazil,Mexico,1998-06-25,Jun,Thursday,1990s,June
1998,France,Nantes,Group F,Serbia,0,1,A,Italy won in AET,Serbia,United States,1998-06-25,Jun,Thursday,1990s,June
1998,France,Bordeaux,Group H,Croatia,1,0,H,Italy won in AET,Argentina,Croatia,1998-06-26,Jun,Friday,1990s,June
1998,France,Lens,Group G,England,0,2,A,Italy won in AET,England,Colombia,1998-06-26,Jun,Friday,1990s,June
1998,France,Lyon,Group H,Jamaica,1,2,A,Italy won in AET,Jamaica,Japan,1998-06-26,Jun,Friday,1990s,June
1998,France,Saint-Denis,Group G,Tunisia,1,1,D,Italy won in AET,Brazil,Mexico,1998-06-26,Jun,Friday,1990s,June
1998,France,Paris,Round of 16,Chile,4,1,H,Italy won in AET,Brazil,Chile,1998-06-27,Jun,Saturday,1990s,June
1998,France,Marseille,Round of 16,Norway,1,0,H,Italy won in AET,Italy,Norway,1998-06-27,Jun,Saturday,1990s,June
1998,France,Lens,Round of 16,Paraguay,1,0,H,France won in AET,France,Paraguay,1998-06-28,Jun,Sunday,1990s,June
1998,France,Saint-Denis,Round of 16,Denmark,1,4,A,Italy won in AET,Denmark,Nigeria,1998-06-28,Jun,Sunday,1990s,June
1998,France,Montpellier,Round of 16,Mexico,2,1,H,Italy won in AET,Germany,Mexico,1998-06-29,Jun,Monday,1990s,June
1998,France,Toulouse,Round of 16,FR Yugoslavia,2,1,H,Italy won in AET,Netherlands,FR Yugoslavia,1998-06-29,Jun,Monday,1990s,June
1998,France,Saint-Étienne,Round of 16,England,2,2,H,Argentina won in penalties (4 - 3),Argentina,England,1998-06-30,Jun,Tuesday,1990s,June
1998,France,Bordeaux,Round of 16,Croatia,0,1,A,Italy won in AET,Croatia,Romania,1998-06-30,Jun,Tuesday,1990s,June
1998,France,Nantes,Quarterfinals,Denmark,3,2,H,Italy won in AET,Brazil,Denmark,1998-07-03,Jul,Friday,1990s,July
1998,France,Saint-Denis,Quarterfinals,Italy,0,0,H,France won in penalties (4 - 3),France,Italy,1998-07-03,Jul,Friday,1990s,July
1998,France,Lyon,Quarterfinals,Croatia,0,3,A,Italy won in AET,Croatia,Germany,1998-07-04,Jul,Saturday,1990s,July
1998,France,Marseille,Quarterfinals,Argentina,2,1,H,Italy won in AET,Netherlands,Argentina,1998-07-04,Jul,Saturday,1990s,July
1998,France,Marseille,Semifinals,Netherlands,1,1,H,Brazil won in penalties (4 - 2),Brazil,Netherlands,1998-07-07,Jul,Tuesday,1990s,July
1998,France,Saint-Denis,Semifinals,Croatia,2,1,H,Italy won in AET,France,Croatia,1998-07-08,Jul,Wednesday,1990s,July
1998,France,Paris,Third place,Croatia,1,2,A,Italy won in AET,Croatia,Netherlands,1998-07-11,Jul,Saturday,1990s,July
1998,France,Saint-Denis,Final,Brazil,3,0,H,Italy won in AET,France,Brazil,1998-07-12,Jul,Sunday,1990s,July
2002,South Korea,Seoul,Group A,Senegal,0,1,A,Italy won in AET,Senegal,France,2002-05-31,May,Friday,2000s,May
2002,Japan,Sapporo,Group E,Saudi Arabia,5,0,H,Italy won in AET,Germany,Saudi Arabia,2002-06-01,Jun,Saturday,2000s,June
2002,Japan,Niigata,Group E,Cameroon,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-01,Jun,Saturday,2000s,June
2002,South Korea,Ulsan,Group A,Denmark,1,2,A,Italy won in AET,Denmark,Uruguay,2002-06-01,Jun,Saturday,2000s,June
2002,Japan,Kashima,Group F,Nigeria,1,0,H,Italy won in AET,Argentina,Nigeria,2002-06-02,Jun,Sunday,2000s,June
2002,Japan,Saitama,Group F,Sweden,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-02,Jun,Sunday,2000s,June
2002,South Korea,Busan,Group B,South Africa,2,2,D,Italy won in AET,Brazil,Mexico,2002-06-02,Jun,Sunday,2000s,June
2002,South Korea,Gwangju,Group B,Slovenia,3,1,H,Italy won in AET,Spain,Slovenia,2002-06-02,Jun,Sunday,2000s,June
2002,South Korea,Ulsan,Group C,Turkey,2,1,H,Italy won in AET,Brazil,Turkey,2002-06-03,Jun,Monday,2000s,June
2002,Japan,Niigata,Group G,Mexico,0,1,A,Italy won in AET,Mexico,Croatia,2002-06-03,Jun,Monday,2000s,June
2002,Japan,Sapporo,Group G,Ecuador,2,0,H,Italy won in AET,Italy,Ecuador,2002-06-03,Jun,Monday,2000s,June
2002,South Korea,Gwangju,Group C,Costa Rica,0,2,A,Italy won in AET,Costa Rica,China PR,2002-06-04,Jun,Tuesday,2000s,June
2002,Japan,Saitama,Group H,Belgium,2,2,D,Italy won in AET,Brazil,Mexico,2002-06-04,Jun,Tuesday,2000s,June
2002,South Korea,Busan,Group D,Poland,2,0,H,Italy won in AET,South Korea,Poland,2002-06-04,Jun,Tuesday,2000s,June
2002,Japan,Kashima,Group E,Republic of Ireland,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-05,Jun,Wednesday,2000s,June
2002,Japan,Kobe,Group H,Tunisia,2,0,H,Italy won in AET,Russia,Tunisia,2002-06-05,Jun,Wednesday,2000s,June
2002,South Korea,Suwon,Group D,Portugal,3,2,H,Italy won in AET,United States,Portugal,2002-06-05,Jun,Wednesday,2000s,June
2002,Japan,Saitama,Group E,Saudi Arabia,1,0,H,Italy won in AET,Cameroon,Saudi Arabia,2002-06-06,Jun,Thursday,2000s,June
2002,South Korea,Daegu,Group A,Senegal,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-06,Jun,Thursday,2000s,June
