year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1958,Sweden,Malmö,Group 1,Northern Ireland,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Sandviken,Group 3,Mexico,4,0,H,Italy won in AET,Hungary,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Eskilstuna,Group 2,Yugoslavia,3,3,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Solna,Group 3,Wales,0,0,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Malmö,Group 1,Northern Ireland,1,2,A,Northern Ireland won in AET,Northern Ireland,Czechoslovakia,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Group 4,Soviet Union,0,1,A,Italy won in AET,Soviet Union,England,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Solna,Group 3,Wales,1,2,A,Italy won in AET,Wales,Hungary,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Quarterfinals,Wales,1,0,H,Italy won in AET,Brazil,Wales,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Norrköping,Quarterfinals,Northern Ireland,4,0,H,Italy won in AET,France,Northern Ireland,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Malmö,Quarterfinals,Yugoslavia,1,0,H,Italy won in AET,West Germany,Yugoslavia,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Solna,Quarterfinals,Soviet Union,2,0,H,Italy won in AET,Sweden,Soviet Union,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Solna,Semifinals,France,5,2,H,Italy won in AET,Brazil,France,1958-06-24,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Semifinals,West Germany,3,1,H,Italy won in AET,Sweden,West Germany,1958-06-24,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Third place,West Germany,5,3,H,Italy won in AET,France,West Germany,1958-06-28,Jun,Saturday,1950s,June
1958,Sweden,Solna,Final,Brazil,2,5,A,Italy won in AET,Brazil,Sweden,1958-06-29,Jun,Sunday,1950s,June
1962,Chile,Rancagua,Group 4,Bulgaria,1,0,H,Italy won in AET,Argentina,Bulgaria,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Viña del Mar,Group 3,Mexico,2,0,H,Italy won in AET,Brazil,Mexico,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Santiago,Group 2,Switzerland,3,1,H,Italy won in AET,Chile,Switzerland,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Arica,Group 1,Uruguay,1,2,A,Italy won in AET,Uruguay,Colombia,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Viña del Mar,Group 3,Spain,1,0,H,Italy won in AET,Czechoslovakia,Spain,1962-05-31,May,Thursday,1960s,May
1962,Chile,Rancagua,Group 4,Hungary,1,2,A,Italy won in AET,Hungary,England,1962-05-31,May,Thursday,1960s,May
1962,Chile,Santiago,Group 2,Italy,0,0,D,Italy won in AET,Brazil,Mexico,1962-05-31,May,Thursday,1960s,May
1962,Chile,Arica,Group 1,Yugoslavia,2,0,H,Italy won in AET,Soviet Union,Yugoslavia,1962-05-31,May,Thursday,1960s,May
1962,Chile,Rancagua,Group 4,England,1,3,A,Italy won in AET,England,Argentina,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Viña del Mar,Group 3,Czechoslovakia,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Santiago,Group 2,Italy,2,0,H,Italy won in AET,Chile,Italy,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Arica,Group 1,Yugoslavia,1,3,A,Italy won in AET,Yugoslavia,Uruguay,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Rancagua,Group 4,Hungary,1,5,A,Italy won in AET,Hungary,Bulgaria,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Arica,Group 1,Soviet Union,4,4,D,Italy won in AET,Brazil,Mexico,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Santiago,Group 2,Switzerland,2,1,H,Italy won in AET,West Germany,Switzerland,1962-06-03,Jun,Sunday,1960s,June
