year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1966,3,133,4,2,69,0.2,0.0,2,no win conditions,1,73,1966-07-19,0,5
1966,3,68,5,8,54,0.1,0.3,0,no win conditions,43,8,1966-07-19,0,5
1966,3,80,6,38,47,0.0,0.1,0,no win conditions,36,41,1966-07-19,0,5
1966,3,69,3,42,77,0.0,0.0,1,no win conditions,17,22,1966-07-19,0,5
1966,3,75,5,9,33,0.1,0.3,0,no win conditions,26,9,1966-07-20,0,6
1966,3,138,6,12,66,0.1,0.2,0,no win conditions,55,12,1966-07-20,0,6
1966,3,69,3,25,27,0.2,0.0,2,no win conditions,20,30,1966-07-20,0,6
1966,3,10,4,78,67,0.2,0.1,2,no win conditions,65,71,1966-07-20,0,6
1966,3,69,18,25,2,0.1,0.0,2,no win conditions,20,2,1966-07-23,0,2
1966,3,133,18,78,77,0.4,0.0,2,no win conditions,65,81,1966-07-23,0,2
1966,3,138,18,33,66,0.1,0.2,0,no win conditions,55,36,1966-07-23,0,2
1966,3,68,18,47,54,0.3,0.5,0,no win conditions,43,51,1966-07-23,0,2
1966,3,68,20,78,66,0.2,0.1,2,no win conditions,65,70,1966-07-25,0,1
1966,3,69,20,25,54,0.2,0.1,2,no win conditions,20,58,1966-07-26,0,5
1966,3,69,21,54,66,0.2,0.1,2,no win conditions,43,70,1966-07-28,0,4
1966,3,69,1,25,79,0.4,0.2,2,England won in AET,20,83,1966-07-30,0,2
1970,8,79,3,42,66,0.0,0.0,1,no win conditions,17,22,1970-05-31,2,3
1970,8,66,6,9,52,0.2,0.3,0,no win conditions,40,9,1970-06-02,1,5
1970,8,46,5,25,56,0.1,0.0,2,no win conditions,20,60,1970-06-02,1,5
1970,8,109,4,37,77,0.0,0.2,0,no win conditions,63,40,1970-06-02,1,5
1970,8,79,3,5,24,0.3,0.0,2,no win conditions,4,27,1970-06-03,1,6
1970,8,46,5,8,18,0.4,0.1,2,no win conditions,6,20,1970-06-03,1,6
1970,8,66,6,78,43,0.2,0.1,2,no win conditions,65,47,1970-06-03,1,6
1970,8,141,4,38,68,0.1,0.0,2,no win conditions,28,72,1970-06-03,1,6
1970,8,79,3,5,66,0.1,0.4,0,no win conditions,55,5,1970-06-06,1,2
1970,8,46,5,19,56,0.1,0.2,0,no win conditions,45,20,1970-06-06,1,2
1970,8,109,4,38,77,0.0,0.0,1,no win conditions,17,22,1970-06-06,1,2
1970,8,66,6,43,52,0.0,0.3,0,no win conditions,40,47,1970-06-06,1,2
1970,8,46,5,8,25,0.1,0.0,2,no win conditions,6,28,1970-06-07,1,3
1970,8,66,6,9,79,0.2,0.5,0,no win conditions,65,9,1970-06-07,1,3
1970,8,141,4,37,68,0.1,0.1,1,no win conditions,17,22,1970-06-07,1,3
1970,8,79,3,42,24,0.4,0.0,2,no win conditions,32,27,1970-06-07,1,3
1970,8,46,5,8,56,0.3,0.2,2,no win conditions,6,60,1970-06-10,1,6
1970,8,79,3,24,66,0.0,0.2,0,no win conditions,55,27,1970-06-10,1,6
1970,8,66,6,78,52,0.3,0.1,2,no win conditions,65,56,1970-06-10,1,6
1970,8,109,4,68,77,0.1,0.0,2,no win conditions,57,81,1970-06-10,1,6
1970,8,66,6,9,43,0.1,0.1,1,no win conditions,17,22,1970-06-11,1,4
