year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2002,South Korea,Gwangju,Group C,China PR,Costa Rica,0,2,A,no win conditions,Costa Rica,China PR,2002-06-04,Jun,Tuesday,2000s,June
2002,Japan,Saitama,Group H,Japan,Belgium,2,2,D,no win conditions,Draw match,Draw match,2002-06-04,Jun,Tuesday,2000s,June
2002,South Korea,Busan,Group D,South Korea,Poland,2,0,H,no win conditions,South Korea,Poland,2002-06-04,Jun,Tuesday,2000s,June
2002,Japan,Kashima,Group E,Germany,Republic of Ireland,1,1,D,no win conditions,Draw match,Draw match,2002-06-05,Jun,Wednesday,2000s,June
2002,Japan,Kobe,Group H,Russia,Tunisia,2,0,H,no win conditions,Russia,Tunisia,2002-06-05,Jun,Wednesday,2000s,June
2002,South Korea,Suwon,Group D,United States,Portugal,3,2,H,no win conditions,United States,Portugal,2002-06-05,Jun,Wednesday,2000s,June
2002,Japan,Saitama,Group E,Cameroon,Saudi Arabia,1,0,H,no win conditions,Cameroon,Saudi Arabia,2002-06-06,Jun,Thursday,2000s,June
2002,South Korea,Daegu,Group A,Denmark,Senegal,1,1,D,no win conditions,Draw match,Draw match,2002-06-06,Jun,Thursday,2000s,June
2002,South Korea,Busan,Group A,France,Uruguay,0,0,D,no win conditions,Draw match,Draw match,2002-06-06,Jun,Thursday,2000s,June
2002,Japan,Sapporo,Group F,Argentina,England,0,1,A,no win conditions,England,Argentina,2002-06-07,Jun,Friday,2000s,June
2002,South Korea,Jeonju,Group B,Spain,Paraguay,3,1,H,no win conditions,Spain,Paraguay,2002-06-07,Jun,Friday,2000s,June
2002,Japan,Kobe,Group F,Sweden,Nigeria,2,1,H,no win conditions,Sweden,Nigeria,2002-06-07,Jun,Friday,2000s,June
2002,South Korea,Seogwipo,Group C,Brazil,China PR,4,0,H,no win conditions,Brazil,China PR,2002-06-08,Jun,Saturday,2000s,June
2002,Japan,Kashima,Group G,Italy,Croatia,1,2,A,no win conditions,Croatia,Italy,2002-06-08,Jun,Saturday,2000s,June
2002,South Korea,Daegu,Group B,South Africa,Slovenia,1,0,H,no win conditions,South Africa,Slovenia,2002-06-08,Jun,Saturday,2000s,June
2002,South Korea,Incheon,Group C,Costa Rica,Turkey,1,1,D,no win conditions,Draw match,Draw match,2002-06-09,Jun,Sunday,2000s,June
2002,Japan,Yokohama,Group H,Japan,Russia,1,0,H,no win conditions,Japan,Russia,2002-06-09,Jun,Sunday,2000s,June
2002,Japan,Rifu,Group G,Mexico,Ecuador,2,1,H,no win conditions,Mexico,Ecuador,2002-06-09,Jun,Sunday,2000s,June
2002,South Korea,Daegu,Group D,South Korea,United States,1,1,D,no win conditions,Draw match,Draw match,2002-06-10,Jun,Monday,2000s,June
2002,South Korea,Jeonju,Group D,Portugal,Poland,4,0,H,no win conditions,Portugal,Poland,2002-06-10,Jun,Monday,2000s,June
2002,Japan,Ōita,Group H,Tunisia,Belgium,1,1,D,no win conditions,Draw match,Draw match,2002-06-10,Jun,Monday,2000s,June
2002,Japan,Fukuroi,Group E,Cameroon,Germany,0,2,A,no win conditions,Germany,Cameroon,2002-06-11,Jun,Tuesday,2000s,June
